"pdes","name","H","a","e","i","om","w","ma"
85770,,20.72,0.9976,0.3452,33.18,18.32,234.23,152.70
85774,,19.09,1.403,0.3289,13.59,64.62,50.16,55.93
85804,,15.35,1.721,0.3544,27.66,285.68,269.84,245.90
85818,,15.42,1.657,0.4160,62.72,235.64,301.22,131.40
85839,,16.58,1.653,0.2481,9.32,28.50,199.69,97.04
85867,,18.30,1.83,0.3022,0.95,254.12,287.84,263.15
85938,,18.73,1.852,0.4845,9.14,19.87,197.78,198.35
85953,,18.09,0.7389,0.7030,12.60,180.43,172.43,258.98
85989,,17.07,0.8831,0.6329,17.07,130.14,309.26,93.50
85990,,20.27,1.009,0.3115,5.36,124.20,235.71,341.16
86039,,15.95,1.76,0.5789,7.13,311.62,120.82,26.21
86067,,16.45,1.817,0.3234,30.55,136.03,301.89,193.92
86324,,15.83,1.966,0.4345,34.61,293.64,75.31,203.78
86326,,17.35,1.844,0.3627,34.31,78.44,312.59,147.42
86450,,18.44,0.9681,0.4148,18.11,124.83,215.60,129.97
86666,,16.88,1.463,0.4270,29.01,186.90,258.89,223.95
86667,,17.54,0.8594,0.5946,14.29,208.30,172.49,229.06
86819,,17.48,1.996,0.5059,10.06,164.87,150.28,352.36
86829,,15.81,1.463,0.5750,14.37,78.46,31.43,216.22
86878,,17.65,1.342,0.6186,9.47,230.98,214.94,207.91
87024,,18.73,1.197,0.1898,14.43,230.50,84.94,98.78
87025,,18.13,1.226,0.4836,25.32,120.49,359.62,336.53
87309,,17.59,0.8475,0.4632,34.74,294.27,188.17,14.58
87311,,16.50,1.59,0.5121,7.70,191.41,343.51,329.27
87684,,15.97,0.8587,0.6427,19.22,162.00,47.82,318.46
88188,,16.08,2.008,0.3913,11.34,340.12,195.36,221.34
88213,,19.48,0.9539,0.5953,17.81,114.25,194.99,17.42
88254,,17.77,1.182,0.6295,1.52,272.11,140.24,113.21
88263,,15.69,2.097,0.4326,38.79,232.82,241.58,89.70
88264,,17.01,2.147,0.4533,12.08,104.92,201.45,264.11
88710,,17.58,1.061,0.2701,21.90,202.82,329.36,243.84
88959,,17.45,1.723,0.5636,53.83,38.94,114.92,192.32
89136,,20.28,1.356,0.2528,1.91,175.90,67.20,222.32
89355,,15.79,1.787,0.3083,22.66,103.03,85.00,329.87
89830,,15.01,2.078,0.5070,43.64,19.89,5.85,24.89
89958,,17.22,1.642,0.8864,9.90,188.13,222.96,13.48
89959,,16.55,1.735,0.5284,42.36,132.00,300.72,19.05
90075,,15.38,2.138,0.5742,8.86,226.50,31.14,254.07
90147,,18.31,1.474,0.3315,28.00,282.68,105.07,300.90
90367,,17.92,1.156,0.4262,16.88,86.82,313.85,289.53
90373,,18.80,1.627,0.2045,9.87,189.39,218.73,226.67
90403,,17.78,1.234,0.2800,19.01,286.22,306.84,268.53
90416,,18.86,1.695,0.4922,7.83,326.75,233.27,295.82
96189,Pygmalion,16.48,1.821,0.3070,14.00,287.17,293.24,35.23
96315,,17.04,1.443,0.6436,6.65,293.03,356.30,78.29
96536,,15.45,2.305,0.7770,41.06,199.35,22.70,329.34
96590,,16.28,0.9079,0.3512,13.60,75.68,202.72,253.63
96631,,18.17,1.698,0.2596,1.77,19.56,303.94,268.70
96744,,14.78,2.095,0.7791,34.72,195.88,35.93,316.54
97725,,18.76,1.798,0.3089,18.19,311.71,212.35,210.84
